iter	Passed	Remaining
0	55	8593
1	56	4289
2	56	2862
3	57	2168
4	57	1729
5	58	1442
6	58	1236
7	58	1079
8	59	959
9	59	862
10	59	781
11	60	715
12	60	659
13	60	611
14	61	570
15	61	533
16	61	500
17	61	471
18	62	444
19	62	420
20	62	400
21	62	380
22	63	363
23	63	347
24	63	332
25	64	319
26	64	305
27	64	294
28	65	285
29	65	274
30	66	265
31	66	256
32	67	247
33	67	239
34	67	231
35	67	224
36	68	217
37	68	210
38	68	204
39	68	198
40	69	192
41	69	186
42	69	181
43	69	175
44	69	170
45	70	166
46	70	161
47	70	157
48	71	153
49	71	149
50	71	146
51	72	142
52	72	139
53	72	136
54	73	132
55	73	129
56	73	126
57	74	123
58	74	121
59	74	118
60	74	115
61	75	112
62	75	110
63	75	107
64	76	105
65	76	103
66	76	100
67	77	98
68	77	96
69	77	94
70	78	92
71	78	90
72	78	88
73	79	86
74	79	84
75	79	82
76	80	81
77	80	79
78	80	77
79	80	75
80	81	74
81	81	72
82	81	70
83	82	69
84	82	67
85	82	66
86	82	64
87	83	63
88	83	61
89	83	60
90	84	59
91	84	57
92	84	56
93	84	55
94	85	53
95	85	52
96	85	51
97	86	50
98	86	48
99	86	47
100	87	46
101	87	45
102	87	44
103	88	43
104	88	42
105	88	40
106	88	39
107	89	38
108	89	37
109	89	36
110	90	35
111	90	34
112	90	33
113	90	32
114	91	31
115	91	30
116	91	29
117	92	28
118	92	27
119	92	27
120	92	26
121	93	25
122	93	24
123	93	23
124	94	22
125	94	21
126	94	20
127	95	20
128	95	19
129	95	18
130	96	17
131	96	16
132	96	15
133	97	15
134	97	14
135	97	13
136	98	12
137	98	12
138	98	11
139	99	10
140	99	9
141	99	9
142	100	8
143	100	7
144	100	6
145	101	6
146	101	5
147	101	4
148	102	4
149	102	3
150	102	2
151	102	2
152	103	1
153	103	0
154	103	0
